score	seq	width	nucCons	file
1036.7230685642617	57	27	0.00	ia1_BEAM_noise21_1_run7.txt
1030.3224114554648	58	26	0.00	ia1_BEAM_noise21_1_run8.txt
809.6004633198203	67	18	0.05	ia1_BEAM_noise21_1_run9.txt
907.2911976435428	59	23	0.00	ia1_BEAM_noise21_2_run1.txt
753.7490690018377	66	17	0.05	ia1_BEAM_noise21_2_run10.txt
934.9645426766837	60	25	0.00	ia1_BEAM_noise21_2_run2.txt
912.8469725818597	57	24	0.00	ia1_BEAM_noise21_2_run3.txt
753.7490690018377	66	17	0.05	ia1_BEAM_noise21_2_run4.txt
753.7490690018377	66	17	0.05	ia1_BEAM_noise21_2_run5.txt
753.7490690018377	66	17	0.05	ia1_BEAM_noise21_2_run6.txt
915.5912459436756	62	23	0.00	ia1_BEAM_noise21_2_run7.txt
905.2884139197422	57	25	0.00	ia1_BEAM_noise21_2_run8.txt
917.9474946601625	61	23	0.00	ia1_BEAM_noise21_2_run9.txt
784.196995817631	64	18	0.05	ia1_BEAM_noise21_3_run1.txt
784.196995817631	64	18	0.05	ia1_BEAM_noise21_3_run10.txt
783.8738094950521	65	18	0.05	ia1_BEAM_noise21_3_run2.txt
784.1969958176309	64	18	0.05	ia1_BEAM_noise21_3_run4.txt
784.196995817631	64	18	0.05	ia1_BEAM_noise21_3_run7.txt
784.1969958176309	64	18	0.05	ia1_BEAM_noise21_3_run8.txt
759.9239110225102	68	18	0.05	ia1_BEAM_noise21_4_run1.txt
894.5678985510764	56	24	0.00	ia1_BEAM_noise21_4_run10.txt
772.5229739053931	64	18	0.11	ia1_BEAM_noise21_4_run2.txt
772.5229739053931	64	18	0.11	ia1_BEAM_noise21_4_run3.txt
772.5229739053931	64	18	0.11	ia1_BEAM_noise21_4_run4.txt
772.522973905393	64	18	0.11	ia1_BEAM_noise21_4_run5.txt
886.5737643082653	55	25	0.00	ia1_BEAM_noise21_4_run6.txt
772.4106701369886	65	18	0.05	ia1_BEAM_noise21_4_run7.txt
883.4855826345287	56	24	0.00	ia1_BEAM_noise21_4_run8.txt
772.522973905393	64	18	0.11	ia1_BEAM_noise21_4_run9.txt
970.4522251788163	55	26	0.00	ia1_BEAM_noise21_5_run1.txt
787.3448003296314	65	18	0.16	ia1_BEAM_noise21_5_run10.txt
967.8126021835841	57	27	0.00	ia1_BEAM_noise21_5_run2.txt
978.0656137728745	56	26	0.00	ia1_BEAM_noise21_5_run3.txt
979.3727081950847	59	27	0.00	ia1_BEAM_noise21_5_run4.txt
981.004179006738	53	27	0.00	ia1_BEAM_noise21_5_run5.txt
976.7081669348431	57	26	0.00	ia1_BEAM_noise21_5_run6.txt
963.6234468963469	60	23	0.00	ia1_BEAM_noise21_5_run7.txt
787.3448003296314	65	18	0.16	ia1_BEAM_noise21_5_run8.txt
976.9618801535577	59	26	0.00	ia1_BEAM_noise21_5_run9.txt
1071.6365855715912	63	27	NULL	ia1_BEAM_noise21_6_run6.txt
758.3597041088709	68	17	0.05	ia1_BEAM_noise21_7_run1.txt
1019.8685099942306	63	22	0.00	ia1_BEAM_noise21_7_run10.txt
1016.3457401822596	63	24	0.00	ia1_BEAM_noise21_7_run2.txt
1020.9711814929018	63	24	0.00	ia1_BEAM_noise21_7_run3.txt
752.7527839451903	70	17	0.05	ia1_BEAM_noise21_7_run4.txt
753.1078103255975	69	17	0.05	ia1_BEAM_noise21_7_run5.txt
758.3597041088709	68	17	0.05	ia1_BEAM_noise21_7_run6.txt
1018.493110819713	63	24	0.00	ia1_BEAM_noise21_7_run7.txt
753.9928606632404	70	17	0.05	ia1_BEAM_noise21_7_run8.txt
1018.976521191195	63	24	0.00	ia1_BEAM_noise21_7_run9.txt
824.1383736820871	68	18	0.05	ia1_BEAM_noise21_8_run1.txt
793.3585050003629	70	17	0.05	ia1_BEAM_noise21_8_run10.txt
793.3585050003628	70	17	0.05	ia1_BEAM_noise21_8_run2.txt
793.3585050003628	70	17	0.05	ia1_BEAM_noise21_8_run3.txt
793.3585050003628	70	17	0.05	ia1_BEAM_noise21_8_run4.txt
